user_id,age_group,city_tier,subscription_plan,new_subscription_plan,upgrade_or_not
UIDLC01065bc25f5,25-34,Tier 1,Basic,Premium,1
UIDLC01067895626,18-24,Tier 2,Premium,Basic,0
UIDLC01068bec6fa,18-24,Tier 1,Premium,Free,0
UIDLC0108567965f,18-24,Tier 3,Premium,Free,0
UIDLC0108d631365,18-24,Tier 1,Premium,Basic,0
UIDLC010cb3bccdd,45+,Tier 1,Premium,Free,0
UIDLC011281ea60b,18-24,Tier 3,Basic,Free,0
UIDLC0118684d319,18-24,Tier 1,Premium,Basic,0
UIDLC0119a3988b7,25-34,Tier 2,Basic,Free,0
UIDLC011ca9ad335,35-44,Tier 1,Premium,Free,0
UIDLC0126b5b210a,18-24,Tier 2,Premium,Free,0
UIDLC012c8f55caf,25-34,Tier 1,Premium,Free,0
UIDLC012e3bd9e5e,35-44,Tier 1,Premium,Free,0
UIDLC01309afd46e,18-24,Tier 3,Basic,Free,0
UIDLC01324d7fb1e,18-24,Tier 3,Premium,Free,0
UIDLC01348fba914,25-34,Tier 3,Basic,Free,0
UIDLC013601be703,45+,Tier 1,Basic,Free,0
UIDLC01375a9f3d9,35-44,Tier 2,Premium,Basic,0
UIDLC013a5160962,18-24,Tier 2,Basic,Free,0
UIDLC0140390b336,35-44,Tier 2,Premium,Free,0
UIDLC0140e256375,18-24,Tier 3,Basic,Free,0
UIDLC014109d76b0,25-34,Tier 3,Premium,Basic,0
UIDLC01429103f42,25-34,Tier 2,Basic,Free,0
UIDLC01435394c42,25-34,Tier 3,Premium,Free,0
UIDLC01486289036,18-24,Tier 3,Premium,Basic,0
UIDLC014c0e36963,18-24,Tier 2,Basic,Free,0
UIDLC014d33b8170,18-24,Tier 1,Premium,Free,0
UIDLC014dc67bcd5,18-24,Tier 2,Premium,Free,0
UIDLC014e99d4052,35-44,Tier 2,Free,Basic,1
UIDLC0153626a844,18-24,Tier 2,Basic,Free,0
UIDLC01556ca6efc,25-34,Tier 1,Basic,Premium,1
UIDLC0155f93ec81,18-24,Tier 1,Basic,Free,0
UIDLC01570ed83ee,25-34,Tier 2,Premium,Free,0
UIDLC0157f4b71b8,18-24,Tier 1,Premium,Free,0
UIDLC01626a1b691,25-34,Tier 1,Premium,Free,0
UIDLC0163befcaf9,35-44,Tier 3,Premium,Free,0
UIDLC01670bdd3ba,18-24,Tier 3,Basic,Free,0
UIDLC0167e862173,35-44,Tier 3,Basic,Free,0
UIDLC016bac0f8ce,25-34,Tier 1,Premium,Free,0
UIDLC0174f3f8ea1,18-24,Tier 2,Premium,Free,0
UIDLC0178434eeae,25-34,Tier 3,Premium,Free,0
UIDLC017df8b9418,35-44,Tier 3,Free,Basic,1
UIDLC017e32a4db7,25-34,Tier 2,Free,Basic,1
UIDLC017e50dc6ed,18-24,Tier 2,Premium,Free,0
UIDLC017fa3e1e29,35-44,Tier 1,Free,Basic,1
UIDLC0180039d8a0,18-24,Tier 1,Premium,Free,0
UIDLC01822f9d4fa,18-24,Tier 2,Premium,Free,0
UIDLC018232fc767,25-34,Tier 2,Premium,Free,0
UIDLC018281f1760,25-34,Tier 3,Basic,Free,0
UIDLC01856a60adb,35-44,Tier 1,Free,Basic,1
UIDLC01875b33334,18-24,Tier 1,Premium,Free,0
UIDLC018a2d6f994,35-44,Tier 1,Free,Basic,1
UIDLC018e92b5564,18-24,Tier 3,Premium,Free,0
UIDLC018f60c1f09,18-24,Tier 2,Basic,Free,0
UIDLC01920220945,25-34,Tier 3,Basic,Free,0
UIDLC0199709a579,25-34,Tier 2,Basic,Free,0
UIDLC019dc550aaa,25-34,Tier 1,Premium,Free,0
UIDLC01a44d81735,18-24,Tier 1,Basic,Free,0
UIDLC01ab72c4450,35-44,Tier 3,Basic,Free,0
UIDLC01b2b6ccedb,35-44,Tier 1,Free,Basic,1
UIDLC01bd7e9d77f,25-34,Tier 2,Premium,Basic,0
UIDLC01c560a144e,45+,Tier 1,Basic,Free,0
UIDLC01c84d4f8bf,25-34,Tier 2,Basic,Free,0
UIDLC01cb2c6e54d,35-44,Tier 2,Premium,Free,0
UIDLC01ccfe9b3eb,25-34,Tier 1,Premium,Free,0
UIDLC01ce8434c71,45+,Tier 3,Premium,Free,0
UIDLC01cefcfcbd1,18-24,Tier 2,Free,Premium,1
UIDLC01cf66b966c,18-24,Tier 1,Basic,Free,0
UIDLC01d125b9b99,25-34,Tier 3,Premium,Free,0
UIDLC01d199ed6d7,18-24,Tier 3,Premium,Basic,0
UIDLC01d261dff95,45+,Tier 1,Free,Basic,1
UIDLC01db4cd903b,18-24,Tier 2,Basic,Free,0
UIDLC01de75e335e,25-34,Tier 2,Basic,Free,0
UIDLC01e08de78b0,18-24,Tier 1,Basic,Free,0
UIDLC01e14ae4937,25-34,Tier 1,Basic,Free,0
UIDLC01e2f0efeb7,18-24,Tier 1,Basic,Free,0
UIDLC01e5564ef9d,18-24,Tier 2,Basic,Free,0
UIDLC01e9d0f3db1,18-24,Tier 2,Basic,Free,0
UIDLC01ea1979d22,18-24,Tier 1,Premium,Free,0
UIDLC01eaca73a1e,35-44,Tier 3,Free,Basic,1
UIDLC01efaacc858,25-34,Tier 3,Basic,Free,0
UIDLC01f64d3d9d8,18-24,Tier 1,Premium,Free,0
UIDLC01fce9d1019,25-34,Tier 3,Premium,Free,0
UIDLC01ffc2fd0c3,18-24,Tier 2,Premium,Free,0
UIDLC020077dbfde,35-44,Tier 1,Basic,Free,0
UIDLC02007ac049d,35-44,Tier 3,Basic,Premium,1
UIDLC02011d07b02,18-24,Tier 2,Premium,Free,0
UIDLC020584d5d36,35-44,Tier 3,Free,Basic,1
UIDLC0206b3c9bc0,35-44,Tier 2,Premium,Basic,0
UIDLC020af86b7c6,18-24,Tier 2,Basic,Free,0
UIDLC020fe00c47b,25-34,Tier 2,Premium,Free,0
UIDLC020ffeb1c23,45+,Tier 3,Premium,Basic,0
UIDLC02102164e61,18-24,Tier 3,Basic,Free,0
UIDLC021101276e6,35-44,Tier 3,Free,Basic,1
UIDLC02116b44a41,25-34,Tier 3,Premium,Free,0
UIDLC0216b884c12,18-24,Tier 2,Free,Basic,1
UIDLC02170deeaca,18-24,Tier 1,Premium,Free,0
UIDLC021786ec0c1,25-34,Tier 3,Free,Basic,1
UIDLC02181901e4a,18-24,Tier 3,Premium,Free,0
UIDLC02188b7ba6f,45+,Tier 2,Premium,Free,0
UIDLC02191ba723b,35-44,Tier 2,Basic,Free,0
UIDLC02191bee507,35-44,Tier 3,Basic,Free,0
UIDLC021a94f83f2,18-24,Tier 2,Basic,Free,0
UIDLC021c893c098,25-34,Tier 2,Free,Premium,1
UIDLC021d2112ba5,18-24,Tier 2,Basic,Free,0
UIDLC021fb08eb3f,18-24,Tier 2,Basic,Free,0
UIDLC02204744849,25-34,Tier 3,Basic,Free,0
UIDLC0223322500c,25-34,Tier 2,Premium,Basic,0
UIDLC02274a4a9e4,35-44,Tier 3,Basic,Free,0
UIDLC022b473f014,18-24,Tier 2,Premium,Basic,0
UIDLC022b8f58f3b,18-24,Tier 1,Premium,Free,0
UIDLC022bcefcf56,45+,Tier 1,Premium,Free,0
UIDLC022ccbe5da4,18-24,Tier 2,Basic,Free,0
UIDLC022cf3ff59d,18-24,Tier 2,Premium,Basic,0
UIDLC022e25c83bb,35-44,Tier 2,Premium,Free,0
UIDLC022e8752a66,35-44,Tier 3,Basic,Premium,1
UIDLC023c01bb79c,18-24,Tier 2,Basic,Free,0
UIDLC023d4ec0e3b,18-24,Tier 1,Premium,Free,0
UIDLC023f5fb3709,25-34,Tier 3,Basic,Free,0
UIDLC023f683db91,18-24,Tier 1,Premium,Free,0
UIDLC023fa6925b5,18-24,Tier 3,Premium,Basic,0
UIDLC023fb692baa,25-34,Tier 2,Premium,Free,0
UIDLC0245aba0d7c,35-44,Tier 1,Premium,Free,0
UIDLC02480dbe300,25-34,Tier 3,Basic,Free,0
UIDLC024a1dbf5ec,35-44,Tier 1,Premium,Basic,0
UIDLC0250466ac54,35-44,Tier 3,Premium,Free,0
UIDLC02507465480,35-44,Tier 2,Premium,Free,0
UIDLC02507d0a774,18-24,Tier 1,Premium,Free,0
UIDLC0257858e48c,25-34,Tier 1,Basic,Free,0
UIDLC025a3ab23e9,25-34,Tier 3,Premium,Free,0
UIDLC025dd3d3043,25-34,Tier 3,Basic,Free,0
UIDLC025e7c721ef,45+,Tier 2,Free,Basic,1
UIDLC025ed2793c1,18-24,Tier 2,Premium,Free,0
UIDLC0266f6497bb,18-24,Tier 2,Premium,Free,0
UIDLC02673bb339b,35-44,Tier 1,Premium,Basic,0
UIDLC02679bb2ba6,18-24,Tier 3,Basic,Free,0
UIDLC026e04277d2,35-44,Tier 3,Free,Basic,1
UIDLC02779b1acdc,18-24,Tier 3,Basic,Free,0
UIDLC027a0ef350e,35-44,Tier 2,Basic,Free,0
UIDLC027a387d5a8,25-34,Tier 1,Premium,Basic,0
UIDLC027bac2d7d9,18-24,Tier 1,Basic,Free,0
UIDLC028275cda02,45+,Tier 2,Premium,Free,0
UIDLC0284ea28647,18-24,Tier 2,Basic,Free,0
UIDLC0285974b710,45+,Tier 1,Basic,Premium,1
UIDLC02860b088a3,18-24,Tier 2,Basic,Free,0
UIDLC0289a7e4e7e,18-24,Tier 2,Basic,Free,0
UIDLC028b1065fb7,25-34,Tier 1,Premium,Free,0
UIDLC028db4906cf,25-34,Tier 1,Premium,Free,0
UIDLC0291f6f0c7b,18-24,Tier 2,Premium,Free,0
UIDLC029637ad765,35-44,Tier 3,Premium,Basic,0
UIDLC02971708833,35-44,Tier 1,Free,Basic,1
UIDLC029756d4d31,25-34,Tier 2,Premium,Basic,0
UIDLC029759990a2,18-24,Tier 1,Free,Basic,1
UIDLC029ac6a7bc0,25-34,Tier 1,Premium,Free,0
UIDLC02a25a55c46,25-34,Tier 3,Free,Premium,1
UIDLC02a5da0608c,18-24,Tier 1,Basic,Free,0
UIDLC02ab2920fea,18-24,Tier 2,Basic,Free,0
UIDLC02aec425a1d,25-34,Tier 1,Premium,Free,0
UIDLC02b242cac64,25-34,Tier 1,Premium,Basic,0
UIDLC02b2c575753,35-44,Tier 3,Basic,Free,0
UIDLC02bd59195e5,25-34,Tier 1,Premium,Basic,0
UIDLC02bdf065983,18-24,Tier 2,Premium,Free,0
UIDLC02be73520d1,45+,Tier 1,Basic,Premium,1
UIDLC02c08994950,18-24,Tier 1,Premium,Free,0
UIDLC02c0cd7c9f4,18-24,Tier 2,Basic,Free,0
UIDLC02cbb9160b1,35-44,Tier 3,Premium,Free,0
UIDLC02cca5e0ab6,18-24,Tier 1,Premium,Free,0
UIDLC02cf2b0e26f,18-24,Tier 2,Premium,Free,0
UIDLC02cf86ed792,25-34,Tier 1,Premium,Free,0
UIDLC02cfa904db9,18-24,Tier 2,Free,Basic,1
UIDLC02d15492953,18-24,Tier 1,Premium,Free,0
UIDLC02d1e061af5,18-24,Tier 2,Premium,Basic,0
UIDLC02d652949e0,35-44,Tier 1,Basic,Premium,1
UIDLC02db6264ea9,18-24,Tier 1,Premium,Free,0
UIDLC02ea68a37da,35-44,Tier 2,Basic,Premium,1
UIDLC02ea9a2dd22,25-34,Tier 3,Basic,Free,0
UIDLC02ed0f6fbee,25-34,Tier 3,Basic,Free,0
UIDLC02eec5810f4,35-44,Tier 2,Free,Basic,1
UIDLC02f354ea798,25-34,Tier 1,Free,Basic,1
UIDLC02f89a9b115,18-24,Tier 3,Basic,Free,0
UIDLC02fa75af949,35-44,Tier 2,Basic,Free,0
UIDLC02fb28ac573,18-24,Tier 1,Premium,Basic,0
UIDLC02fe044f475,35-44,Tier 1,Basic,Free,0
UIDLC03074ff06e2,25-34,Tier 2,Premium,Free,0
UIDLC0307eff1a25,45+,Tier 3,Basic,Free,0
UIDLC030f74f5663,18-24,Tier 2,Basic,Free,0
UIDLC03106fa9786,25-34,Tier 1,Premium,Free,0
UIDLC03130b873d6,18-24,Tier 2,Basic,Free,0
UIDLC031bdf2e0b2,25-34,Tier 3,Basic,Free,0
UIDLC031f7dc6ddc,25-34,Tier 3,Basic,Free,0
UIDLC0321c3f9e58,25-34,Tier 3,Free,Premium,1
UIDLC0322fc27912,25-34,Tier 2,Premium,Free,0
UIDLC032c762fe24,25-34,Tier 1,Basic,Free,0
UIDLC032c8606ee4,45+,Tier 3,Basic,Free,0
UIDLC032d028abe2,25-34,Tier 1,Free,Premium,1
UIDLC032f5e4355d,45+,Tier 2,Premium,Basic,0
UIDLC033196233cf,25-34,Tier 3,Basic,Free,0
UIDLC03332a24ca7,18-24,Tier 2,Basic,Free,0
UIDLC033430b4c66,25-34,Tier 1,Basic,Free,0
UIDLC033c0880f8e,25-34,Tier 2,Basic,Free,0
UIDLC034735b34a0,18-24,Tier 2,Premium,Basic,0
UIDLC03473c4a656,18-24,Tier 2,Premium,Basic,0
UIDLC034741b9ed5,18-24,Tier 3,Basic,Free,0
UIDLC0349f56a127,25-34,Tier 2,Free,Basic,1
UIDLC034a67b5f62,35-44,Tier 1,Basic,Free,0
UIDLC034c1838be1,18-24,Tier 2,Basic,Free,0
UIDLC034e63cbf91,45+,Tier 2,Premium,Free,0
UIDLC034f571d1d5,25-34,Tier 3,Basic,Free,0
UIDLC0350e504c33,25-34,Tier 1,Premium,Free,0
UIDLC03531b5b848,45+,Tier 1,Free,Basic,1
UIDLC0354224183e,25-34,Tier 2,Basic,Free,0
UIDLC0358b0f6728,45+,Tier 1,Premium,Free,0
UIDLC035e031a208,45+,Tier 3,Basic,Premium,1
UIDLC03607b82db6,45+,Tier 2,Premium,Free,0
UIDLC0361ff70b70,35-44,Tier 2,Free,Basic,1
UIDLC036277b2ca3,18-24,Tier 3,Basic,Free,0
UIDLC0365c2b0e7d,18-24,Tier 2,Premium,Basic,0
UIDLC0368f627d78,18-24,Tier 3,Basic,Free,0
UIDLC036a35598f3,45+,Tier 2,Premium,Free,0
UIDLC0373f6cc2f2,25-34,Tier 3,Basic,Free,0
UIDLC037572f9ec2,25-34,Tier 3,Basic,Free,0
UIDLC0378835f029,35-44,Tier 1,Basic,Free,0
UIDLC037949a729a,25-34,Tier 2,Premium,Free,0
UIDLC0386b2fae7a,35-44,Tier 2,Free,Basic,1
UIDLC038812a748f,35-44,Tier 2,Premium,Free,0
UIDLC0389e5a288d,35-44,Tier 3,Basic,Free,0
UIDLC038aad3997d,18-24,Tier 3,Basic,Free,0
UIDLC038b9e038b0,18-24,Tier 2,Premium,Free,0
UIDLC0390ce18e83,18-24,Tier 1,Basic,Free,0
UIDLC03925f02400,18-24,Tier 3,Premium,Basic,0
UIDLC0396c3b4509,18-24,Tier 1,Basic,Free,0
UIDLC039ec836243,18-24,Tier 3,Premium,Basic,0
UIDLC039f908868e,18-24,Tier 2,Basic,Free,0
UIDLC039f992d2a5,25-34,Tier 2,Premium,Free,0
UIDLC03a16e06691,18-24,Tier 3,Basic,Free,0
UIDLC03a1ff1e56d,35-44,Tier 2,Free,Basic,1
UIDLC03a6290b539,45+,Tier 1,Free,Basic,1
UIDLC03a6621b2f6,18-24,Tier 2,Basic,Free,0
UIDLC03ac0d14d23,25-34,Tier 1,Basic,Free,0
UIDLC03ae77eabca,18-24,Tier 2,Basic,Free,0
UIDLC03b011247bc,45+,Tier 3,Basic,Free,0
UIDLC03b093f306d,35-44,Tier 1,Free,Premium,1
UIDLC03b4db56a19,18-24,Tier 2,Free,Basic,1
UIDLC03b6beb88fa,25-34,Tier 1,Premium,Basic,0
UIDLC03b718dafac,45+,Tier 3,Free,Basic,1
UIDLC03b7b386363,18-24,Tier 2,Premium,Free,0
UIDLC03bbe332e13,35-44,Tier 2,Premium,Free,0
UIDLC03be60cbe31,18-24,Tier 1,Basic,Free,0
UIDLC03bebe4ea66,45+,Tier 1,Basic,Free,0
UIDLC03beea49896,25-34,Tier 1,Free,Premium,1
UIDLC03c16707cc0,25-34,Tier 1,Free,Basic,1
UIDLC03c3b3a5413,18-24,Tier 2,Premium,Free,0
UIDLC03c7812ac35,18-24,Tier 2,Basic,Free,0
UIDLC03c8db8be11,25-34,Tier 2,Basic,Free,0
UIDLC03c90884bda,18-24,Tier 3,Basic,Free,0
UIDLC03ca6a6f064,35-44,Tier 2,Free,Basic,1
UIDLC03cb4dae30f,45+,Tier 3,Basic,Free,0
UIDLC03cbf23cd03,25-34,Tier 3,Premium,Basic,0
UIDLC03cc9db7578,18-24,Tier 2,Premium,Free,0
UIDLC03ce1c6b48c,45+,Tier 3,Basic,Free,0
UIDLC03d304c7e22,35-44,Tier 3,Basic,Free,0
UIDLC03d68757bf0,18-24,Tier 1,Premium,Free,0
UIDLC03d7862e2d4,18-24,Tier 2,Basic,Free,0
UIDLC03da0a1a3f6,18-24,Tier 3,Premium,Free,0
UIDLC03e10f6da33,35-44,Tier 2,Basic,Free,0
UIDLC03e5ce8ea44,25-34,Tier 3,Basic,Free,0
UIDLC03e5f11d5ac,18-24,Tier 1,Premium,Basic,0
UIDLC03e7d35cf39,18-24,Tier 1,Basic,Free,0
UIDLC03ed244ed7e,45+,Tier 1,Basic,Premium,1
UIDLC03f1c43c3fe,18-24,Tier 2,Free,Premium,1
UIDLC03f34b9ed26,25-34,Tier 2,Basic,Free,0
UIDLC03f7c852332,18-24,Tier 3,Basic,Free,0
UIDLC03fa2036c9d,25-34,Tier 2,Premium,Free,0
UIDLC03fa49ce4c6,35-44,Tier 1,Free,Basic,1
UIDLC03fcf0336ee,25-34,Tier 1,Premium,Free,0
UIDLC0401f33e303,45+,Tier 3,Premium,Basic,0
UIDLC0407d3e4e6e,25-34,Tier 3,Basic,Premium,1
UIDLC04082667830,18-24,Tier 1,Free,Basic,1
UIDLC0409efc1a3a,18-24,Tier 2,Premium,Basic,0
UIDLC040b0671f91,18-24,Tier 1,Premium,Free,0
UIDLC040d65ebbf7,35-44,Tier 1,Basic,Free,0
UIDLC040f24cf01c,18-24,Tier 1,Premium,Basic,0
UIDLC0410def9dbf,18-24,Tier 1,Free,Basic,1
UIDLC0412b36413e,25-34,Tier 1,Free,Premium,1
UIDLC04147514975,25-34,Tier 1,Free,Basic,1
UIDLC04183a93e2d,18-24,Tier 3,Basic,Free,0
UIDLC041a9db1877,25-34,Tier 1,Free,Basic,1
UIDLC041c1f54db7,35-44,Tier 1,Basic,Premium,1
UIDLC041eea36649,25-34,Tier 1,Free,Basic,1
UIDLC0422e03f106,18-24,Tier 3,Basic,Free,0
UIDLC0425f7d91af,45+,Tier 1,Premium,Free,0
UIDLC04260ed8ce7,18-24,Tier 2,Basic,Free,0
UIDLC0426e0c681d,25-34,Tier 1,Basic,Free,0
UIDLC042dee88ead,35-44,Tier 3,Free,Premium,1
UIDLC042e699f720,35-44,Tier 3,Premium,Free,0
UIDLC042efcebd1e,25-34,Tier 2,Premium,Free,0
UIDLC04309357106,35-44,Tier 3,Basic,Premium,1
UIDLC0435feb7045,25-34,Tier 3,Basic,Free,0
UIDLC04383dffa34,35-44,Tier 3,Basic,Free,0
UIDLC0438f49d526,25-34,Tier 3,Basic,Free,0
UIDLC0439307db86,25-34,Tier 3,Premium,Basic,0
UIDLC043b9e09737,18-24,Tier 1,Premium,Free,0
UIDLC043c488cc48,18-24,Tier 2,Basic,Free,0
UIDLC04444a86365,25-34,Tier 3,Premium,Basic,0
UIDLC0445d09df2a,45+,Tier 1,Premium,Free,0
UIDLC044630978c0,18-24,Tier 2,Premium,Free,0
UIDLC04467e24a8f,18-24,Tier 2,Premium,Free,0
UIDLC04468978bdd,35-44,Tier 1,Premium,Free,0
UIDLC0447ff4dd4c,25-34,Tier 2,Basic,Free,0
UIDLC04498fe844f,35-44,Tier 1,Premium,Free,0
UIDLC044b18c5950,18-24,Tier 3,Basic,Free,0
UIDLC044cc13d5d2,35-44,Tier 3,Basic,Premium,1
UIDLC044ce017bce,35-44,Tier 3,Basic,Premium,1
UIDLC044cfa69d9a,35-44,Tier 2,Basic,Free,0
UIDLC044d61f7df7,25-34,Tier 3,Premium,Free,0
UIDLC044dbfb47f1,18-24,Tier 1,Premium,Free,0
UIDLC0450e824d6d,18-24,Tier 2,Premium,Free,0
UIDLC045270f99eb,25-34,Tier 1,Premium,Free,0
UIDLC04537f7ecc7,35-44,Tier 2,Premium,Free,0
UIDLC045910ceaad,35-44,Tier 2,Basic,Free,0
UIDLC045b686673a,18-24,Tier 1,Premium,Free,0
UIDLC04612fd0dec,18-24,Tier 3,Basic,Free,0
UIDLC04679eb10fd,18-24,Tier 1,Premium,Free,0
UIDLC046b41df42e,45+,Tier 2,Free,Basic,1
UIDLC046c7d6fbbc,25-34,Tier 2,Premium,Basic,0
UIDLC046d24d118b,18-24,Tier 2,Premium,Basic,0
UIDLC04767630c9b,35-44,Tier 1,Free,Basic,1
UIDLC047bfa9486f,35-44,Tier 1,Basic,Premium,1
UIDLC047da5a79fb,45+,Tier 2,Premium,Free,0
